Process Step,Waste Stream Name,Physical Form,Composition Key Elements,Generation Rate,Particle Size Or Phase,Hazard Classification,Current Disposal Pathway,Estimated Disposal Cost
Powder Handling,Oxidized/Off-Spec Powder,Solid (fine powder). Density (bulk alloy): ~7.5-7.8 g/cm³.,"NdFeB alloy particles and their surface oxides (Nd2O3, Fe2O3). Typical bulk composition: 28-35 wt% Rare Earths (Nd, Pr, Dy, Tb), 60-70 wt% Fe, 0.8-1.2 wt% B.","One facility reports generating 500 kg/week of ""oxidized powder and green body residues"". This contributes to overall material yield loss.",Fine powder. Typically jet-milled to a mean particle size of 2-5 µm.,"Pyrophoric/Flammable Solid (UN3089, Class 4.1). Dry powders can oxidize and burn rapidly in air. Powders should be maintained in a water slurry or under an inert atmosphere (N2, Ar) to prevent spontaneous combustion. US RCRA: D001 (Ignitability).",Recycled internally or disposed of at a certified waste facility.,Not mentioned in source.
Pressing,Press Rejects / Green Body Scrap,"Solid (brittle compressed powder). Density is lower than the final sintered magnet, typically 50-60% of theoretical.","Un-sintered NdFeB alloy powder. Composition is the same as the input powder: REE 28-35 wt%, Fe 60-70 wt%, B 0.8-1.2 wt%.",Contributes to yield loss during the pressing stage. One facility reports a combined generation rate of 500 kg/week for oxidized powder and green body residues.,"Solid pressed compacts (""green bodies"") composed of fine (2-5 µm) alloy particles.","Solid compacts are stable, but if broken or crushed, the resulting dust has the same pyrophoric/flammable hazards as the source powder (UN3089, Class 4.1). US RCRA: D001 (Ignitability) if in powder form.","Recycled internally (e.g., re-blended) or disposed of at a certified waste facility along with oxidized powder.",Not mentioned in source.
Powder Handling / Pressing,Airborne Fines / Dust Collector Catch,Solid (very fine powder/dust).,"Fine NdFeB alloy particles and their oxides. Composition is the same as the parent powder. If cobalt is present, respirable dust (≤10µm) is classified as acutely toxic by inhalation.",Generated from all powder handling and pressing operations. Dust collectors can have up to 99% removal efficiency for PM10 and PM2.5. One example from steel grinding notes emissions >50 g/h from a single machine.,"Fine, airborne powder (dust). Particle size is typically in the range of the jet-milled powder, often <10 µm.","Flammable Solid, pyrophoric, and poses a dust explosion hazard. Must be handled in inert atmospheres or as a slurry to prevent spontaneous combustion. US RCRA: D001 (Ignitability), D003 (Reactivity).",Captured by dust collection systems. Disposed of as hazardous waste or potentially recycled. Spilled dust should be swept and stored in a water slurry or under an inert atmosphere.,Not mentioned in source.
Sintering,Sintering Furnace Residues / Crucible Contamination,"Solid (crust, scale, or powder).","Oxidized deposits of rare earth and iron alloys, potential volatilized components from the sintering process.",Not mentioned in source. Generated slowly over time.,"Solid deposit, scale, or fused residue.","Likely non-hazardous if fully oxidized, but would require TCLP testing to confirm.","Mechanically removed (scraped) and disposed of as solid industrial waste, likely to a landfill.",Not mentioned in source.
Sintering,Contaminated Vacuum Pump Oil,Liquid (oil).,Vacuum pump oil contaminated with fine NdFeB alloy particles and organic breakdown products.,"Depends on pump size, maintenance schedule, and seal integrity. Not mentioned in source.",Liquid (oil) with suspended fine solids.,Hazardous Waste. Classified as used oil in the US and subject to specific RCRA regulations (40 CFR 279). May also be ignitable (D001).,"Managed as used oil; sent to a certified waste facility for recycling, reprocessing, or incineration.","Disposal cost for used oil is typically in the range of $0-$5 per gallon, but may be higher if contaminated with metal fines."
Sintering / QC,Sintered Magnet QC Rejects,"Solid (dense, brittle metallic). Density: ~7.4-7.8 g/cm³.","Sintered NdFeB alloy. Composition is that of the final product grade. Example: Fe 63.54 wt%, Nd 22.21 wt%, Dy 8.19 wt%, Co 2.99 wt%.",A facility example reported 45 barrels per week of off-spec magnets. Sm-Co magnets can have machining failure rates up to 20% due to brittleness.,"Solid blocks, rings, arcs, or other shapes.",Non-hazardous solid article. The primary hazard is physical due to strong magnetic fields and potential for chipping.,Typically recycled within the plant. A common method is Hydrogen Decrepitation (HD) to convert the solid chunks back into powder for reprocessing.,"Recycled internally, so the cost is that of reprocessing rather than disposal."
Machining,Grinding Sludge/Slurry (Water-based Coolant),Aqueous slurry/sludge. Density can range from 3150-4075 kg/m³ depending on solids loading and composition. Can be dewatered to a filter cake with 25-33% moisture.,"Solids: NdFeB alloy particles (e.g., Nd 19.5 wt%, Dy 2.4 wt%, Pr 4.9 wt%, Fe ~60 wt%), abrasive particles (e.g., diamond, SiC). Liquid: Water-based emulsion (5-15% concentrate in water) containing emulsifiers, corrosion inhibitors, biocides. pH is typically alkaline, 9.2-10.0.","This is a primary waste stream, accounting for a large portion of the 20-30% of material lost during manufacturing. One facility reports generating 16,600 kg/week. A single machine can generate 0.6-1.4 kg/h.","Slurry of fine metal particles (e.g., medium diameter 0.5-0.8 mm reported in one study, but typically much finer) suspended in an aqueous emulsion.","Hazardous Waste. The fine metal powder is pyrophoric when dried. The aqueous slurry can generate flammable hydrogen gas. US RCRA: F006 (if from electroplating surface prep), and/or D-codes for metals (e.g., D007 for Chromium if present). EU EWC: e.g., 12 01 14* (machining sludges containing dangerous substances).","Collected and transported off-site for disposal at a certified hazardous waste facility, often a secure landfill after dewatering/stabilization.","Not mentioned in source, but hazardous waste landfill costs are significant."
Machining,Grinding Sludge (Oil-based Coolant),"Oily slurry/sludge. Can have high moisture/oil content (e.g., 50%).","Solids: NdFeB alloy particles (e.g., Nd 12.45 wt%, Fe 34.35 wt%, B 0.48 wt%). Liquid: Mineral oil-based coolant containing additives like boric acid (10-20%), ethanol, and amines. Oil content can be >50% of the sludge mass.",A major contributor to manufacturing waste. More than 70% of total waste can be sludge. Represents a significant portion of the overall 20-30% material loss in manufacturing.,Slurry of fine metal particles suspended in oil.,Hazardous Waste. Ignitable due to oil content (US RCRA D001). Flash point of concentrate can be >160°C. Metal powder is pyrophoric upon drying. May be toxic for metals (D-codes). EU EWC: 12 01 10* (synthetic machining oils) or 12 01 07* (mineral-based machining oils).,"Disposed of at a certified hazardous waste facility, often via incineration or stabilization followed by landfill.","Not mentioned in source. Likely ""Expensive"" category ($15-$50+/gallon) due to mixed hazardous characteristics."
Machining,Wire EDM Filter Cake / Dielectric Waste,Solid (filter cake) and liquid (spent dielectric fluid).,"Dielectric fluid (deionized water or oil/kerosene), fine NdFeB particles, and particles from the wire electrode (typically brass - Cu/Zn, or molybdenum). Particulate sizes are typically fine, in the range of 1-20 µm.","Generated from the kerf loss during cutting. Kerf width is typically 250-270 µm. Minimized by using very fine wire, e.g., 0.25 mm (0.010""). Dielectric fluid consumption can be significant, e.g., up to 299.7 mL for one operation in a study.",Solid filter cake and contaminated liquid. The cake consists of fine (1-20 µm) metallic particles.,Depends on the dielectric fluid. Oil-based fluids may be ignitable (D001). The fine metal particles are pyrophoric upon drying. US RCRA: F006 may apply.,The dielectric fluid is filtered to remove solid particles. The resulting filter cake and spent fluid are disposed of as hazardous waste.,Not mentioned in source.
Machining,Cutting Swarf (ID/OD Saw),"Solid (chips, turnings).","NdFeB alloy particles (swarf/chips). Example composition (wt%): Fe 73.71%, RE 25.51%, Ni 0.57%, Cu 0.21%.","Accounts for 6-73% of material loss during manufacturing steps. One facility reports 1,100 kg/week of combined grinding & sawing materials.","Solid particles/chips, generally coarser than grinding sludge.","Can be classified as non-hazardous if chips are large enough. However, fine particles mixed in are pyrophoric and can spontaneously combust. US RCRA: D001 (Ignitability) if fines are present.",Disposed of at a certified waste facility or recycled.,Not mentioned in source.
