Competitor Company,Headquarters,Founding Year,Ownership Structure,Primary Business Model,Technology Platforms,Target Waste Streams,Geographic Footprint,Processing Capacity,Key Customers Partnerships,Competitive Strengths,Revenue,Weaknesses Risks
Umicore,"Brussels, Belgium",1989,Publicly traded company listed on Euronext Brussels (UMI).,Integrated precious metals refining and recycling with an assay-based settlement model. Business includes treatment/refining charges for processing customer materials and revenue from the resale of recovered metals.,"Integrated pyrometallurgical and hydrometallurgical processes. Key technologies include a unique smelter using Isa smelt submerged lance combustion, a copper leaching and electrowinning plant, and a precious metals refinery.","Focuses on complex end-of-life materials and industrial by-products, including printed circuit boards (PCBs), electronic scrap (e-scrap) from small IT devices, spent catalysts, and production scrap. Primarily handles solid e-waste rather than liquid manufacturing waste streams.","Global presence with major recycling facilities in Europe (notably Hoboken, Belgium), North America, and Asia. The company operates on 5 continents, with revenue distributed across Europe (40%), Asia-Pacific (39%), and North America (14%).","The Precious Metals Refining business unit processes over 400,000 tonnes per year of raw materials.","Serves industrial clients across the electronics and telecom sectors. The company has long-term (>20 years) customer relationships and partnerships with major battery producers like LG Chem and Samsung SDI, as well as commodity suppliers like Glencore.","World's largest recycler of precious metals with a unique integrated, closed-loop business model combining advanced metallurgy, material science, and chemistry. Strengths include a global refining footprint, highly accurate sampling and assaying, and the ability to recover 17 different metals from over 200 types of feed material.","€11.9 billion (2017), $20.4 billion (reported by ZoomInfo), and €900 million (2024 forecast for recycling, excluding metal value).","Exposed to commodity price volatility, regulatory/legal changes, and ethical supply chain risks. The Hoboken plant has recorded safety performance issues."
Heraeus Precious Metals,"Hanau, Germany",1660 (company roots),"Private, family-owned global technology group.","Integrated business model covering the entire precious metals value chain, from trading and product manufacturing to recycling and refining. Offers metal resale, recycling services, and value-added logistics and waste management.","Utilizes pyrometallurgical and hydrometallurgical processes, including thermal pretreatment and electrolytic processes. Core competencies include sampling, analysis, and proprietary recycling processes.","Processes a wide variety of precious metal-containing materials, including electronic scrap, spent automotive and chemical catalysts, production waste, and ion exchange resins. Focus is primarily on end-of-life materials.","Global presence with 15-16 production and recycling sites across Europe, North America, Asia, China, India, and South Africa.",Not mentioned in source(s).,"Serves a wide variety of industries including automotive, chemicals, semiconductor, and electronics. Has a joint venture with BASF to recover precious metals from spent automotive catalysts.","One of the world's largest refiners and recyclers of precious metals, with an integrated value chain covering trading, innovative products, and recycling. The company has a global network, state-of-the-art facilities (including the world's largest incineration capacity), and strong compliance standards (LBMA, LPPM).",Group revenue of €29.1 billion (2022) and €29.5 billion (2021).,Exposed to the volatility of precious metal markets. Historical reputational risks from wartime activities are noted in company history.
Johnson Matthey,"London, United Kingdom",1817,Public company.,"Specialty chemical and sustainable technologies provider focused on PGM refining, recycling, and catalyst manufacturing. Offers toll-refining services, metal purchase options, and precious metals management.","Utilizes pyrometallurgical (smelting) and hydrometallurgical processes, including chemical leaching and multi-stage chemical separation. Developing proprietary technologies like HyRefine™ for fuel cell recycling.","Focuses on recovering PGMs from complex materials such as spent catalysts, chemical residues, electronics scrap, and fuel cell components. Primarily handles end-of-life products and industrial scrap rather than liquid manufacturing waste.","Global presence with refineries in Europe, the US, and China, operating in over 20 countries. Activities are concentrated in Europe and the UK.",Not mentioned in source.,"Serves leading companies in the energy, chemicals, and automotive sectors. Partnerships include Bosch, Stena Recycling, European Metal Recycling (EMR), and primary PGM suppliers like Sibanye-Stillwater.","World's largest refiner of secondary (recycled) Platinum Group Metals (PGMs) by volume, with a long history and strong expertise in advanced metals chemistry, catalysis, and process engineering. The company has a global refining network and offers 100% recycled PGM content with a significantly lower carbon footprint.",$14.9 Billion (2025 Forecast),"Exposed to volatile PGM prices and reliance on traditional autocatalyst markets, which has led to financial headwinds. The business is undergoing strategic shifts, including divestment of some units."
Boliden Group,"Stockholm, Sweden",1924,Publicly traded company (Aktiebolag).,"Integrated mining, smelting, and refining company that processes both primary mineral concentrates and secondary materials like e-scrap. The business model is primarily focused on metal recovery and resale.","Utilizes smelting and refining technologies, including a specially adapted Kaldo furnace for e-scrap. The process involves smelting, leaching, and electrolysis to produce pure metals.","Focuses on recycling pre-processed end-of-life electronic material, including circuit boards from computers and mobile phones, as well as lead-acid batteries and other secondary materials. It does not specifically target liquid manufacturing waste streams.","Primarily a European footprint with smelters and mines in Sweden, Finland, and Norway. The Rönnskär smelter sources electronic material primarily from Europe.","The Rönnskär smelter has an annual capacity for recycling 120,000 tonnes of electronic material.",Serves an industrial customer base in Northern Europe and procures scrap from European collectors. Has had contracts with other mining companies like OM Group for refining concentrates.,"One of the world's largest recyclers of e-scrap with a strong market position due to its advanced, flexible smelting processes, including a unique Kaldo furnace adapted for electronic material. The company has a highly efficient, integrated value chain from mining to recycling and produces low-carbon copper.",SEK 78.554 billion (2023); $8.4 billion (2024 forecast); Approximately SEK 90 billion (FY2024). A recent report noted 2023 revenue as $7.7 billion.,"Exposed to operational risks such as fires disrupting production. The company has a history of significant environmental incidents, creating regulatory and reputational risks."
"DOWA Holdings Co., Ltd.","Tokyo, Japan",1884,Public company listed on the Tokyo Stock Exchange.,"Integrated business model covering environmental management, recycling, smelting, and the production of metals and electronic materials. The model combines fee-for-service waste treatment with metal recovery and resale, creating a closed loop that converts customer waste back into usable products.","Utilizes both pyrometallurgical and hydrometallurgical technologies, including a dedicated recycling furnace at its Kosaka Smelting & Refining complex.","Accepts diverse raw materials including used cell phones, printed circuit boards (PCBs), e-scrap, industrial hazardous waste, and incinerator ash. The company specifically mentions securing post-PCB waste.","Global presence with operations in 13 countries and regions. It has a strong base in Japan (44 sites) and Asia, with 35 overseas bases including facilities in China, Singapore, Indonesia, and a European office in Germany.","The Kosaka Smelting & Refining facility has a dedicated recycling furnace. The Akita Zinc refinery has an annual production capacity of 220,000 tons, with the recycling portion having a capacity of 20,000 tons (zinc equivalent). DOWA plans to increase its E-scrap recycling capacity.",Serves automotive and electronics manufacturers. Has partnerships with companies like Sumitomo Metal Mining and has previously partnered with Padaeng Industry and Inco. Customers include Japanese electronics brands.,"A unique recycling-oriented business model integrating five core businesses including smelting, environmental services, and electronic materials. DOWA has advanced metallurgical technology to recover 22 different metals and operates a dedicated recycling furnace at its Kosaka complex, one of Japan's preeminent metal recycling facilities. The company also has a worldwide raw material collection network.",¥717.1 billion (FY2023); reported in a different source as USD 1.8-2.0 billion.,"Risks include intensifying competition for recycled materials, degradation in the quality of feedstock, and the aging of equipment and infrastructure at facilities that have been in use for over 100 years. The company is also exposed to fluctuations in PGM prices."
Aurubis AG,"Hamburg, Germany",1866,Publicly traded company listed on the German Stock Exchange (MDAX).,"An integrated B2B model focused on processing metal concentrates, scrap metals, and recycling materials into high-purity metals for resale. Offers ""closing-the-loop"" contracts where customer scrap is processed and refined copper is returned.","Utilizes pyrometallurgical and hydrometallurgical processes, including a primary smelting process and specialized recycling technologies like the Kayser Recycling System (KRS). The company uses sensor-based sorting technology in partnership with TOMRA.","Processes complex recycling materials including printed circuit boards, electronic waste (WEEE), copper scrap, sludges, and various precious metal-bearing industrial residues. Focus is primarily on solid scrap materials.","Global presence with production sites in more than 20 countries, concentrated in Europe (Germany, Belgium, Bulgaria, Spain, etc.) and expanding in the US with a new multimetal recycling plant in Georgia.","Processes approximately 1 million tonnes of recycling materials annually. The new US plant in Richmond will add a capacity of 180,000 tonnes per year.","Serves various industries including electronics, automotive, and construction. Partners include metal traders and specialized recycling companies. Has a joint venture (Cablo GmbH) with TSR Recycling.","A leading global copper recycler and provider of non-ferrous metals, operating one of the world's most modern and environmentally friendly smelter networks. The company has a fully integrated value chain, high metal recovery rates, and state-of-the-art facilities with strong environmental standards.",€532 million (Operating EBT for FY 2022/23). Other sources report total revenues of $18.5 billion (2024) and €8.9 billion (2019/20).,"Exposed to physical and transition risks related to climate change, such as flooding at key sites. The company faces regulatory complexity and high capital intensity for new projects. It has also faced legal proceedings for environmental violations at a US site."
Glencore,"Baar, Switzerland",1927 (Horne Smelter),Publicly traded company.,"Integrated commodity producer, recycler, and trader. The recycling division sources, processes, and refines e-waste and other secondary materials, selling the recovered metals to industrial customers. The model combines metal resale with feedstock supply and offtake partnerships.","Utilizes a fully integrated pyrometallurgical and hydrometallurgical smelting and refining system, including the Horne custom copper smelter. Glencore Technology licenses proprietary technologies like ISASMELT™ and ISAKIDD™ (electrowinning/electrorefining).","Processes end-of-life electronics including circuit boards and electronic components, as well as copper-bearing scrap, residues (dross, sludges), and spent catalysts. Primarily handles solid e-waste and scrap.","Global presence in over 30 countries with recycling facilities in North America, South America, and Europe, supported by a global marketing network. Key e-scrap sites are in the US and Canada.","The Horne Smelter has a capacity of 840,000 tonnes/year for copper and precious metal materials. The recycling division handles around 100,000 tonnes/year of recycling materials. In 2020, recovered 27,000 metric tons of copper and nearly 100,000 pounds of precious metals from e-scrap.",Sources materials from OEMs and other processors. Has strategic alliances with companies like Hewlett Packard (historically) and feedstock/offtake agreements with technology companies like Metallium. A founding member of the Circular Electronics Partnership.,"One of the world's largest recyclers of end-of-life electronics, with a major integrated smelting and refining network (e.g., Horne Smelter in Quebec, CCR Refinery). The company has a global marketing network, long-standing industry experience, and strategic partnerships to secure feedstock and offtake.",Not mentioned in source.,"Subject to commodity price volatility, technology scale-up challenges in partnerships, and regulatory/environmental compliance risks, including ministry orders related to smelter operations."
Mitsubishi Materials Corporation,"Tokyo, Japan",1871 (company roots),Publicly traded company listed on the Tokyo Stock Exchange.,"An integrated business model that includes smelting and refining of primary ores, recycling of e-scrap and other materials, and manufacturing of high-value metal and electronic products. The model focuses on metal recovery and resale as part of a circular economy strategy.",Utilizes the proprietary Mitsubishi Process for continuous copper smelting and converting. This is primarily a pyrometallurgical process integrated with refining to produce electrolytic copper and recover precious metals.,"Focuses on E-Scrap, particularly discarded printed circuit boards from electronic devices, as well as used home appliances. The company does not specifically mention processing liquid manufacturing wastes like etchants or plating baths.","Global operations in 32 countries and regions, collecting e-scrap mainly from Japan, Europe, and North America. It has established a European regional headquarters in the Netherlands and is conducting feasibility studies for US expansion.","Current e-scrap processing capacity is approximately 160,000-170,000 tons per year, with a target to increase this to 240,000 tons per year by FY2031.","Collaborates with home appliance manufacturers such as Hitachi, Sharp, and Panasonic for recycling. Acquired Elemental USA E-Waste & ITAD to expand its US business.","Integrated metals and resource circulation business with a long history (since 1871). Strengths include a proprietary, environmentally-clean smelting method (the Mitsubishi Process), a global collection network for e-scrap, and claims of the world's highest e-scrap processing capacity.","¥1,962.0 Billion (FY ended March 31, 2025), US$14.36 billion (FY 2018).","Exposed to downturns in the copper smelting market, including deteriorating treatment and refining charges (TC/RC). The company has a documented history of quality data falsification by subsidiaries, posing a reputational risk."
Asahi Holdings,"Kobe & Tokyo, Japan",1952,"Publicly listed holding company with a diversified shareholder base of institutional investors, individual shareholders, and corporate stakeholders.","Integrated precious metals recycling and trading. The business model includes both fee-based processing of industrial waste and a collection-payment-sale model where scrap is purchased, refined, and the recovered metal is sold or traded.","Utilizes proprietary wet refining (hydrometallurgical) and electrolytic recovery systems, especially for plating solutions. Dry refining/smelting is also used. The company emphasizes its non-incineration approach for precious metals recycling.","Targets a wide range of precious metal-bearing materials including plating solutions, rinse water, etching solutions, and e-scrap such as used electronic substrates, PCBs, and components from the electronics and semiconductor industries.","Global presence with a strong base in Japan (69 sites) and international operations in North America (USA, Canada) and Asia (South Korea, China, Taiwan, Malaysia, Vietnam).","The North American subsidiary, Asahi Refining, has a refining volume of 550 tonnes/year for gold and 2,200 tonnes/year for silver. The company processed approximately 9,500 tons of e-waste in FY2023.","Serves clients across the electronics, automotive, jewelry, and dental industries. It has established joint ventures and partnerships in Southeast Asia and North America, including a JV with Shih Her Technologies in Taiwan.","A leading precious metals refiner with a strong market share in Japan and Asia. The company has advanced assaying and refining technologies, including proprietary electrolytic recovery systems, and is recognized by the LBMA and Tokyo Commodity Exchange. It offers a comprehensive service from collection to refining and trading.",¥128.7 billion (FY 2019). Another source reported ¥263.5 billion (FY 2023). The Precious Metals business revenue was forecast at ¥113.0 billion for FY2019.,"Exposed to market volatility, including harsh conditions and lower processing fees in the North American refining market. Other risks include energy supply shortages and operational disruptions from large-scale disasters."
Metallix Refining Inc.,"Shrewsbury, New Jersey, USA",1968,"A wholly-owned subsidiary of Sibanye-Stillwater, a major precious metals mining group.","Purchases, recycles, and refines materials containing gold, silver, and platinum group metals (PGMs). Offers a full turnkey solution including transportation, processing, and the purchase or transfer of recovered metals (metal resale and refining services).","Utilizes a range of pyrometallurgical and hydrometallurgical technologies, including a proprietary APR4 Thermal Reduction Furnace, chemical leaching, wet chemistry for acid/cyanide solutions, high-temperature induction melting, and mechanical reduction.","Targets scrap materials containing Au, Ag, and PGMs from a wide variety of industries, including microelectronics, semiconductor, electroplating, and automotive. This includes electronic waste, industrial byproducts, and spent catalytic converters. The company's wet chemistry department processes cyanide and acid solutions.","Global presence with headquarters and executive offices in the US (New Jersey), two processing facilities in North Carolina, and offices in the United Kingdom and South Korea.","In the 12 months leading to Dec 31, 2024, the company processed approximately 4.2 million pounds (approx. 1,905 metric tons) of precious metal-bearing materials.","Serves a global customer base across various industries including microelectronics, semiconductor, electroplating, automotive, and medical devices. Key customers include OEMs and catalytic converter buyers worldwide.","A leading global refiner of precious metals from e-waste and industrial scrap with a strong focus on environmentally responsible and secure refining. The company has a long history (since 1968) and utilizes advanced proprietary technologies like the APR4 Thermal Reduction Furnace. It is ISO 14001 certified and was acquired by Sibanye-Stillwater, enhancing its global reach and capabilities.",$22.7 Million. The company has recorded positive earnings and cash flow prior to its acquisition.,Not mentioned in source.
