Competitor,Company Profile,Technology Platforms,Target Metals,Installed Base Customers,Business Model,Funding Ownership,Patents Ip,Regional Focus,Notes Evidence
Umicore (including EOM division),"Umicore is a publicly traded global materials technology and recycling group headquartered in Belgium. Its Electro-Optic Materials (EOM) division operates globally, with locations including the US, China, and Japan.",Pyrometallurgical (smelting) and hydrometallurgical (leaching) processes are used to refine and recycle a wide variety of germanium-containing materials.,"Primarily Germanium (Ge). The broader group recovers 17 different metals, including precious metals, from various feedstocks like e-scrap.",Not mentioned in source(s).,"Purchase of scrap materials, tolling schemes, and closed-loop recycling services. Sells refined germanium products and offers take-back of production scraps.",Publicly traded on Euronext Brussels (UMI).,Not mentioned in source(s).,"Global, with refineries and recycling plants in Europe (Belgium), the US, and a strong presence in Asia (China, Japan, Korea).",Umicore's EOM division states it can recover Germanium from streams with concentrations as low as 0.5% for solids and 0.5 g/L for solutions. The company can produce high-purity Germanium up to 99.99999999999% and has the capacity to treat several thousand tonnes of recycling streams annually. The company is also a partner in the U.S. Department of Energy’s Critical Materials Innovation Hub.
5N Plus Inc.,"A publicly traded producer of specialty semiconductors and performance materials, founded in 2000 and headquartered in Montreal, Canada. 5N Plus operates R&D, manufacturing, and commercial centers across North America, Europe, and Asia.",The company uses a range of proprietary metallurgical and chemical processes for both primary and secondary refining of materials. Specific methods like ion exchange or solvent extraction are not detailed.,Germanium (Ge) and Indium (In). The company also produces products from Gallium (Ga) but recovery from waste is not specified. Arsenic recovery is not mentioned.,The company has a multi-year supply agreement with First Solar in the renewable energy sector. No specific compound semiconductor fab customers are named in the sources.,"An integrated supplier model involving both the sale of specialty semiconductor products (wafers, compounds) and resource management/recycling services for customers within its Specialty Semiconductors segment.","Publicly traded on the Toronto Stock Exchange (TSX: VNP). An institutional investor, Caisse de dépôt et placement du Québec, was noted as acquiring shares in 2017. The company also utilizes syndicated credit facilities.",The company holds two patents in Canada and the US (expiring in 2029) and an additional portfolio of approximately 110 patent families related to gallium nitride (GaN) and other technologies through its subsidiary AZUR.,"Global operations across North America, Europe, and Asia, with manufacturing and R&D facilities in Canada, the USA, Germany, and China.","5N Plus performs internal recycling and purification of Germanium. Its Heilbronn, Germany facility has recycled Germanium from its wastewater since 2022, and its St. George, UT facility recaptures nearly all Germanium residues from production for reuse. The company has expanded its recycling capacity in Montréal, Canada, and Eisenhüttenstadt, Germany."
Indium Corporation,"A privately held materials refiner, smelter, manufacturer, and supplier founded in 1934. The company is headquartered in Clinton, NY, USA, and operates global factories and reclaim facilities in the USA, China, India, Malaysia, Singapore, South Korea, and the UK.","Utilizes advanced electrolytic recycling (electrochemical) processes for solder and solder dross. The specific technologies used for Ga, Ge, and In recovery from semiconductor waste are described as processing in a ""state-of-the-art recycling facility"" without further detail.","Indium (In), Gallium (Ga), Germanium (Ge), and Tin (Sn).","Engaged in a strategic partnership with MTM Critical Metals / Flash Metals USA, providing semiconductor waste feedstock for MTM's recovery technology trials. No end-user fab customers are named.","Offers a ""Reclaim and Recycle Program"" for industrial scrap. Business models include purchasing the material outright after an assay, offering financial credit towards the purchase of new products, or returning the reclaimed metal to the customer.",Not mentioned in source(s).,Not mentioned in source(s).,"Global, with sales, technical support, and manufacturing/reclaim facilities in the Americas, Asia-Pacific, and Europe.","The company's reclaim program explicitly accepts compound semiconductor manufacturing waste, including InP crystals and wafers, Ga2O3 and GaN crystals/wafers, and sputtering targets (ITO, IZO, IGZO). The process starts with the customer sending a scrap sample for an internal assay to determine metal content and reclamation complexity."
"Dowa Holdings Co., Ltd.","A large, publicly traded Japanese company founded in 1884 with headquarters in Tokyo. Dowa operates globally through multiple business segments, including ""Environment and Recycling"" and ""Electronic Materials."" Subsidiaries include Kosaka Smelting & Refining and Dowa Eco-System.","A combination of pyrometallurgical and hydrometallurgical processes, including wet smelting technology (sulfatizing roasting, leaching, electrolysis) and unique fire refining (ROSE process). Operates specialized furnaces (TSL Furnace) for processing e-scrap. Also utilizes neutralization and biological methods for wastewater treatment.","Gallium (Ga), Germanium (Ge), and Indium (In). Arsenic recovery is not mentioned.",Not mentioned in source(s).,"Integrated business model including smelting, refining, environmental management, and recycling services. The company processes e-scrap and industrial residues to recover metals, which are then used in its Electronic Materials and other business segments.",Publicly traded on the Tokyo Stock Exchange (TYO: 5714).,The company has filed or been granted patents for metal plating technologies. No patents specifically for Ga/Ge/In recovery are mentioned in the sources.,"Worldwide operations with a strong focus in Japan and Asia. Dowa Eco-System operates waste management and recycling facilities in Thailand, Indonesia, Singapore, and Myanmar.","As of July 2023, Dowa Holdings was the world's top producer of high-purity gallium. Its subsidiary, Akita Rare Metal, is noted to have the world's largest market share in indium recovery from used ITO targets. The Kosaka recycling plant has been operating since 2008, extracting valuable metals from old electronics. The company can recover over 20 different kinds of elements."
JX Advanced Metals Corporation,"A major Japanese non-ferrous metals company established in December 1905, with its head office in Tokyo. The company conducted an initial public offering on the Tokyo Stock Exchange in March 2025. The group operates globally with factories in key semiconductor regions.","Utilizes an integrated framework of smelting and recycling, including proprietary refining and electrolysis technologies. Core technologies include electrorefining, solvent extraction, distillation/sublimation, molten salt electrolysis, and various melting processes (EBM, PAM). Employs advanced analytical techniques like ICP-MS.","Gallium (Ga), Germanium (Ge), Indium (In), and Arsenic (As) are all listed as metals the company refines to high purity. The company also produces In-Ga-Zn-Oxide (IGZO) targets and InP substrates.",Supplies global semiconductor manufacturers and has received supplier awards from companies including Intel and TSMC.,"Acts as an integrated supplier with both primary and secondary refining capabilities. The business includes smelting of concentrates and recycled materials from ""urban mines"" to produce and sell high-purity metals and electronic materials. Also provides consignment plating services for semiconductor wafers.",Publicly traded on the Tokyo Stock Exchange as of March 2025.,"Holds a large portfolio of 5,858 granted patents. Specific patents related to Ga/Ge/In/As recovery are not mentioned.","Global, with a strong presence in Japan and Asia. It operates factories and collection centers in major semiconductor hubs including Taiwan, South Korea, the USA (Arizona), and Germany.","The company has a significant IP portfolio with over 5,800 patents granted. It operates a recycled raw materials collection center in Taiwan, which was established in 2010 and expanded in 2021. The company reclaims valuable metals from plating sludge and other industrial waste."
Korea Zinc,"A major non-ferrous metal smelter headquartered in Seoul, South Korea. The company is undertaking significant expansion projects, including new recovery circuits at its Onsan smelter in Korea and a large-scale critical minerals smelter in Clarksville, Tennessee, USA.","Utilizes integrated smelting and refining technologies from its Onsan Smelter. Has developed a proprietary low-temperature, low-pressure hematite process for gallium extraction. The new U.S. facility will include pyrometallurgical systems, hydrometallurgical circuits, and chemical processing units. The company is also partnering on a JV to use a biochemical ""precision mining"" technology for rare earths.","Gallium (Ga), Germanium (Ge), and Indium (In). Arsenic recovery is not mentioned.",Announced a memorandum of understanding (MoU) with Lockheed Martin related to the construction of its Germanium recovery circuit. No other specific customers are named.,"Large-scale smelting and refining of primary concentrates and secondary materials (scrap). In Korea, the company is building dedicated circuits to recover Ga, Ge, and In as by-products of its primary zinc and lead smelting operations. In the U.S., a new smelter will process scrap to produce a range of strategic metals.","The U.S. smelter project involves a $7.4 billion investment, supported by funding from the U.S. Department of War and Department of Commerce. The gallium recovery circuit in Korea is a KRW 55.7 billion (US$39.3M) investment. Corporate ownership details are not mentioned.","The company's proprietary low-temperature, low-pressure hematite process has been designated a National Core Technology by the South Korean government.","Primary operations are in South Korea (Onsan smelter). The company is establishing a major strategic production hub in North America with its new smelter in Tennessee, USA.","Korea Zinc is the world's largest producer of Indium, with an annual production of 92 tons. The planned gallium recovery circuit in Korea is projected to produce 15.5 tons/year of Ga and over 16 tons/year of In as a by-product. The new U.S. smelter will have the capacity to process 1.1 million tons of raw materials/scrap annually."
Veolia Group,"A large, publicly traded French multinational company providing water, waste, and energy management solutions. It operates globally on five continents with over 215,000 employees. The company has a dedicated business focus on the electronics and semiconductor industry.","Offers a comprehensive portfolio of water and wastewater treatment technologies, including: Ion Exchange, Electrodialysis Reversal (EDR), Biological Treatment (MBR), Membrane Filtration (UF, RO), Evaporators & Crystallizers for Zero Liquid Discharge (ZLD), and Macro Porous Polymer Sorption (MPPS) for solvent recovery.","Arsenic (As) removal is explicitly mentioned as a capability. Recovery of Gallium, Germanium, or Indium is not mentioned in the provided sources.","Serves major semiconductor and electronics companies, with case studies mentioning Showa Denko (Singapore), SK Hynix (South Korea), and a large unnamed US semiconductor producer in the Southwest. The company has also won a major 16-year contract for a new fab in the US Midwest.","Offers a full suite of environmental services including design-build-operate-maintain (DBOM) contracts for water and wastewater treatment facilities at semiconductor plants. This includes long-term service agreements, emergency services, and providing proprietary treatment technologies.",Publicly traded on the Paris Euronext exchange (VIE).,Not mentioned in source(s).,"Global, with operations in North America, Europe, Asia, Latin America, Africa and the Middle East. Case studies and contracts show a strong presence in key semiconductor regions like Singapore, South Korea, Taiwan, and the United States.","Veolia has over 40 years of experience in the microelectronics industry, with more than 390 large projects executed for over 50 clients. A case study for a fab in Singapore highlights an Electrodialysis Reversal (EDR) system achieving 70% water recovery and 80% fluoride removal from scrubber wastewater. The company's capabilities explicitly include arsenic removal from wastewater streams."
Johnson Matthey,"A publicly traded British multinational specialty chemicals and sustainable technologies company. It is described as a world leader in PGMs and the world's largest recycler of these metals by volume, with refineries in Europe, the US, and China.",Utilizes both pyrometallurgical and hydrometallurgical processes for the refining and recycling of PGM-containing materials.,"Primarily focused on Platinum Group Metals (PGMs). No mention of Ga, Ge, In, or As recovery.",Not mentioned in source(s).,"Offers recycling services and toll refining of precious metals, including Platinum Group Metals (PGMs). Business models include purchasing recovered metal or processing it as a service for the owner (toll-refining) in both open and closed-loop systems.",Publicly traded company (Johnson Matthey PLC).,Not mentioned in source(s).,"Global, with refineries located in Europe, the US, and China.","While a major refiner of precious metals used in electronics, the provided sources focus on its PGM capabilities. There is no specific mention of recovering Gallium, Germanium, or Indium from semiconductor manufacturing waste."
Purolite (An Ecolab Company),"A global leader in resin technology, Purolite is part of Ecolab. The company develops and manufactures ion exchange, chelating, and adsorbent resins. It has a global presence with contacts in the Americas, Asia Pacific, and EMEA.","Specialized ion exchange resins, including anion exchangers and chelating resins with specific functionalities (e.g., amidoxime, catechol, iminodiacetic acid) for solid-phase extraction and selective recovery of metals. The process involves adsorption onto the resin followed by elution with an acid or other regenerant.",Gallium (Ga) and Arsenic (As). Germanium and Indium recovery are not mentioned.,"A case study mentions working with Wastech Controls & Engineering, a wastewater equipment manufacturer, on a project for an aerospace manufacturer. No specific semiconductor fab customers are named.","Product sales of specialized ion exchange and chelation resins for various industries, including microelectronics and hydrometallurgy. Also offers technical support and system modeling services. Services can include regenerable service deionization (SDI) and portable exchange (PE) systems.",A brand/division of Ecolab.,"A research paper utilizing Purolite resins for gallium recovery references a pending patent (US 63/501,006) related to the work, but it is not directly assigned to Purolite in the source.","Global, with sales and technical support covering the Americas, Asia Pacific, Europe, the Middle East, and Africa (EMEA).","Purolite offers specific chelating resins for Gallium recovery, such as MTS9100 with amidoxime functionality, which has a strong, selective affinity for gallium over aluminum, particularly from Bayer liquor. The company also provides resins for Arsenic removal. Research has demonstrated the effectiveness of functionalized Purolite resins (A110, A143 Plus) for the selective recovery of gallium with high selectivity over other metals like Al, Fe, and As."
LANXESS,"A leading publicly traded specialty chemicals company with headquarters in Germany. The company operates globally with approximately 11,800 employees in 32 countries (as of 2024). It is listed on sustainability indices like the DJSI.",Provides ion exchange and mixed-bed resin technology (Lewatit brand) for demineralization and final polishing of ultrapure water.,"The company's resins are designed to remove trace metal ions (like iron, zinc, sodium), boron, and silica to produce ultrapure water. It does not target Ga, Ge, In, or As for recovery.","Early installations of its Lewatit UltraPure resins are in use in semiconductor manufacturing facilities, though no specific customers are named.","Product sales of ion exchange resins for industrial water treatment and purification, including ultrapure water for the semiconductor industry.",Publicly traded company listed on sustainability indices like the Dow Jones Sustainability Index (DJSI World and Europe).,Not mentioned in source(s).,"Global, with production in Germany and marketing activities in the US and other international markets.","The company's Lewatit UltraPure series of mixed-bed ion exchange resins are specifically designed for final polishing in ultrapure water systems for semiconductor manufacturing, removing trace metal ions, silica, and boron. The focus is on water purification rather than recovery of valuable metals from waste streams."
